Frank Meese,mugtang,Mon Nov 02 20:40:52 +0000 2015,"@JuliaLopez3 should be fun.  I gave consideration to driving down but didn't want to use my pto for it.  #firstworldproblems"
Georgia Lewis,georgialewis76,Mon Nov 02 20:40:40 +0000 2015,"Good Lord, the Evening Standard report on the fog was a festival of whiny, #firstworldproblems-laden overgrown babies."
Izzard,Izzard,Mon Nov 02 20:40:37 +0000 2015,"The app switcher on the new Apple TV inexplicably scrolls the wrong way.
(OK, I guess: #FirstWorldProblems)"
Jessica,JClyde_xo,Mon Nov 02 20:40:36 +0000 2015,"When you're office just as cold as the weather outside 😒 #firstworldproblems"
Г Т О,foxy_belka,Mon Nov 02 20:40:23 +0000 2015,"у меня даже нет денег пиццу заказать, а хочется больше жизни (((
#firstworldproblems"
insert shriek here,kueblerwolf,Mon Nov 02 20:38:47 +0000 2015,"Decided not to propose paper for conf. in Edinburgh that would complicate travel to conf. in Spain. #firstworldproblems #professorproblems"
Katherine Dye,katherine_dye,Mon Nov 02 20:37:12 +0000 2015,"Real problems: can't decide whether to buy books or concert tickets.
#books #concert #tickets #what todo #crisis #firstworldproblems #funny"
Claire Willette,SailboatSky,Mon Nov 02 20:37:10 +0000 2015,"The hardest part of editing is not being able to listen to music. #firstworldproblems"
Chris Leversha,chris_leversha,Mon Nov 02 20:36:37 +0000 2015,"Nigella Lawson is the epitome of #firstworldproblems with her breakfast radishes and German spelt bread! #SimplyNigella"
TravisYarwood,TravisYarwood,Mon Nov 02 20:35:54 +0000 2015,"Everything I want to watch on Netflix I can't watch cause it's everything me and fenella watch together #firstWorldproblems"
Ozzie,Ozzie_Says,Mon Nov 02 20:33:22 +0000 2015,"I had a nightmare involving uber #firstworldproblems"
James Lavery,JimLavery,Mon Nov 02 20:33:04 +0000 2015,"@Rob_Newbery #firstworldproblems"
Kelly Martin,thekellymartin,Mon Nov 02 20:32:59 +0000 2015,"So much tension in my neck! Would kill for a hot stone massage right now! #firstworldproblems"
well loved stories,ms_peaceweaver,Mon Nov 02 20:32:47 +0000 2015,"@TopCat3legs @Ocado I bought baby pink one &amp; was devastated when within two weeks they brought out peppermint green one #firstworldproblems"
Cara,caraosity,Mon Nov 02 20:32:43 +0000 2015,"#firstworldproblems so much right now but I'm just so 😑😑😑"
Virgil Hawkins,_JimScreechie_,Mon Nov 02 20:32:36 +0000 2015,"Ever unfollow someone because they look very close to someone you don't like 😪 #firstworldproblems"
kiles☽ ☼,KileyShort,Mon Nov 02 20:30:37 +0000 2015,"the biggest struggle in my life is the fact that my nails are wet and i can't eat #firstworldproblems"
Boother,FreethoughtDad,Mon Nov 02 20:30:07 +0000 2015,"Loving that the KC Royals win the World Series! But sad to see so many putting sports above our kids education. #firstworldproblems"
Licenciado Zae,zaecampos,Mon Nov 02 20:29:49 +0000 2015,"Hoy q quiero una limonada no veo ni una carpa! #firstworldproblems #sinlimonadasnohayparaiso"
Bradley©,BradleyWates,Mon Nov 02 20:29:22 +0000 2015,"Fucking pasta on my jeans #firstworldproblems"
Page,PageMcNaught,Mon Nov 02 20:29:16 +0000 2015,"I'm not a pushy person but serious open my Snapchat!! Ugh #firstworldproblems"
Cohle H. Smith,cohleHsmith,Mon Nov 02 20:28:32 +0000 2015,"RT @harto: The AppleTV remote is so small!! I always lose it!!! #firstworldproblems"
Schokonini,Krawallschaf,Mon Nov 02 20:28:03 +0000 2015,"Noch mehr, nachdem man ihn aus der "facebook-freundesliste" entfernt hat #firstworldproblems"
Trista Mae,tristamlegrande,Mon Nov 02 20:27:55 +0000 2015,"I've grown up being called Trista Mae and I'm getting really jealous at how popular my middle name is becoming 😔 #firstworldproblems"
Michael Gonzalez,W_W_M_D,Mon Nov 02 20:27:19 +0000 2015,"@LaurenETaylor11 hopefully you never travel outside of the US. #itgetsworse #firstworldproblems"
James Stillson,JamesStillson8,Mon Nov 02 20:27:06 +0000 2015,"@JordanDePauw #firstworldproblems"
liz bradley,lizAbrossard,Mon Nov 02 20:27:04 +0000 2015,"I just had to turn the air conditioning on in my office because it is 72 degrees outside in November. #firstworldproblems #onlyinchicago"
Mel,janayvarela,Mon Nov 02 20:26:23 +0000 2015,"I hate the rain because my wifi connection is bad lol #firstworldproblems"
$tephen #みやげ品,Zextillion,Mon Nov 02 20:25:34 +0000 2015,"RT @firstworldme: I'm just too comfortable to brave the harsh elements of the dating world. #firstworldproblems"
